I stay up to date on current political topics and issues.,I have developed opinions on political issues and topics.,I am comfortable starting a discussion about political issues with my friends.,I know enough information about politics and political issues to talk about them with people I don’t know very well.,"On average, approximately how many minutes per day do you spend on Facebook?-Minutes Per Day on Facebook",Approximately how many Facebook friends do you have?-Number of Facebook Friends,"On average, how many days per week do you read a newspaper or news magazine?","On average, how many days per week do you watch television news?",What is your age?-Years (Age),What is your sex?,What is your race/ethnicity?
pie1,pie2,pie3,pie4,fbtime,fbfriends,news,tv,age,sex,race
3,3,3,3,5,653,1,3,20,Male,White
3,4,2,2,60,1324,2,1,20,Male,White
1,2,1,1,60,1490,1,2,18,Male,White
4,4,2,4,59,1413,2,1,19,Male,White
5,5,2,4,,,6,1,24,Male,White
4,4,4,3,30,200,3,2,19,Male,Multiracial
4,4,3,4,5,367,4,7,19,Male,White
2,2,2,1,150,895,1,1,19,Male,White
3,1,2,3,25,370,2,2,18,Male,White
1,1,1,1,60,71,1,1,30,Male,White
1,2,2,3,10,573,2,1,22,Male,Hispanic/Latino
4,4,4,4,113,1025,5,6,18,Male,Native American
2,4,2,1,45,354,1,1,21,Male,White
3,4,4,4,30,1808,2,6,18,Male,Other
2,4,2,2,22,402,1,1,19,Male,White
3,2,2,2,15,380,1,1,19,Male,Hispanic/Latino
1,4,3,4,7,304,3,1,18,Male,White
4,5,4,2,30,307,1,1,19,Male,White
4,4,4,3,34,76,2,1,20,Male,White
2,4,2,2,10,850,1,2,19,Male,White
4,5,4,4,140,1644,1,2,21,Male,Multiracial
4,4,4,4,,,6,3,18,Male,Hispanic/Latino
5,4,5,4,,,7,3,18,Male,Multiracial
4,5,4,2,43,298,1,1,21,Male,White
4,4,4,3,43,1092,4,4,19,Male,White
2,3,2,2,150,313,1,2,18,Male,White
4,4,3,3,89,2000,5,1,19,Male,White
3,4,3,2,0,1199,1,2,18,Male,White
4,5,3,4,89,1004,1,1,19,Male,White
4,5,2,3,20,509,3,1,18,Male,White
3,4,2,2,20,626,1,1,18,Male,White
3,4,2,1,60,555,3,5,19,Male,White
2,4,2,2,10,1638,2,1,18,Male,White
2,4,2,3,,,1,3,20,Male,White
2,3,1,1,15,178,1,4,20,Male,White
3,4,4,1,43,1490,5,1,19,Male,White
4,5,4,2,60,548,1,1,19,Male,White
3,4,3,2,28,1199,2,1,19,Male,White
5,5,5,4,60,409,7,1,33,Male,White
4,4,4,4,5,249,1,1,18,Male,White
5,5,4,4,90,1315,6,4,19,Male,White
2,3,2,2,33,207,2,2,19,Male,White
3,4,2,3,30,1002,1,1,18,Male,White
4,4,2,3,30,396,3,3,18,Male,Black
4,5,4,3,30,682,3,1,19,Male,White
5,5,5,4,23,431,3,3,23,Male,White
2,5,4,4,45,322,1,3,18,Male,White
1,3,3,1,5,398,1,5,19,Male,White
1,2,2,2,10,765,3,4,18,Male,White
4,5,3,2,15,1160,1,2,19,Male,White
4,5,4,4,42,1188,2,2,20,Male,Other
2,3,3,3,118,382,5,6,18,Male,Black
2,4,3,2,27,1200,2,3,21,Male,Black
4,4,4,4,59,2000,7,1,19,Male,White
4,5,4,3,45,414,1,3,19,Male,Multiracial
4,4,2,2,90,600,2,1,19,Male,White
3,4,3,2,28,1190,3,3,20,Male,White
4,4,5,2,119,680,5,5,19,Male,White
5,5,4,3,15,307,7,1,20,Male,White
1,2,2,1,15,1007,1,1,18,Male,Asian
2,4,3,2,63,725,1,1,19,Male,White
4,4,4,3,120,2000,2,3,19,Male,Asian
3,2,4,1,40,650,1,1,19,Male,White
4,4,4,4,5,1011,1,2,22,Male,White
4,4,4,4,20,869,6,5,18,Male,White
4,4,4,4,30,322,3,1,19,Male,White
5,5,4,5,30,486,7,4,19,Male,White
4,4,3,3,11,300,1,1,19,Male,White
2,4,4,2,9,303,1,1,20,Male,White
2,5,2,2,40,405,1,1,20,Male,Other
4,4,3,4,,,2,1,18,Male,Black
1,4,3,3,70,1244,4,3,15,Male,White
2,4,3,2,20,805,1,1,18,Male,White
1,3,2,1,30,592,1,1,19,Male,White
2,4,2,2,15,752,4,1,19,Male,White
3,5,3,3,20,102,1,1,23,Male,White
5,5,5,4,22,1503,2,5,18,Male,Black
3,4,2,2,75,836,1,1,19,Male,White
3,4,3,3,70,188,1,1,19,Male,White
2,2,3,1,60,1002,1,1,18,Male,White
3,3,4,5,28,1011,1,1,18,Male,White
5,5,5,5,18,846,4,1,20,Male,White
3,4,4,3,15,300,1,1,18,Male,White
3,3,3,3,15,1114,1,1,18,Male,Multiracial
4,4,2,3,58,591,5,1,19,Male,White
3,5,2,2,2,924,4,2,20,Male,White
3,2,4,3,25,506,2,4,18,Male,White
2,2,4,2,12,804,1,1,19,Male,White
2,4,3,1,19,1020,1,2,18,Male,White
4,5,2,3,120,356,6,1,31,Male,White
4,5,2,4,120,370,6,1,31,Male,White
3,4,4,3,58,559,5,1,22,Male,White
4,4,2,2,,,3,5,24,Male,White
2,2,3,3,19,345,1,1,19,Male,White
3,4,2,2,120,1154,2,1,19,Male,White
3,3,3,3,87,658,1,2,18,Male,White
4,4,4,3,30,877,2,1,20,Male,White
4,5,4,4,26,562,5,3,21,Male,White
2,4,3,3,23,886,4,3,18,Male,White
2,4,2,2,4,503,1,1,19,Male,White
2,4,4,4,27,998,1,3,18,Male,White
3,4,3,3,30,1351,1,1,22,Male,White
5,5,3,4,150,262,1,5,38,Male,White
4,4,4,2,15,653,5,3,21,Male,White
3,4,4,2,15,1000,2,6,22,Male,White
4,4,4,4,60,240,3,3,21,Male,White
4,4,4,2,42,1074,3,3,21,Male,White
5,2,4,1,86,1359,5,4,21,Male,White
2,2,1,2,30,940,3,1,21,Male,White
5,4,4,4,105,389,5,3,21,Male,White
2,4,3,2,2,331,2,1,18,Male,White
4,4,2,3,15,1822,3,4,21,Male,White
2,4,3,2,26,405,2,1,22,Male,White
4,4,4,4,22,1043,2,1,20,Male,White
1,3,1,1,46,537,4,1,22,Male,Black
3,4,2,2,28,402,1,1,22,Male,White
3,2,3,2,58,794,3,4,20,Male,White
3,4,3,4,40,1615,7,7,20,Male,White
1,4,3,3,210,1280,2,5,18,Male,White
3,3,3,2,14,986,2,1,21,Male,Hispanic/Latino
4,4,4,4,45,243,5,7,18,Male,White
3,4,5,3,180,2000,2,1,20,Male,White
1,3,1,2,52,427,1,1,22,Male,White
3,4,1,3,15,1150,2,5,22,Male,Native American
1,4,1,3,29,1218,2,2,19,Male,White
4,4,4,4,28,586,5,7,21,Male,Hispanic/Latino
4,4,4,4,89,1262,4,1,20,Male,White
2,3,2,1,15,685,1,1,18,Male,White
1,2,4,1,58,752,2,1,21,Male,White
4,4,4,3,12,794,7,1,19,Male,White
2,4,2,2,45,490,3,1,22,Male,White
3,4,4,2,10,1038,2,5,19,Male,White
2,4,4,2,90,421,1,2,19,Male,White
2,2,1,1,43,577,1,6,21,Male,White
4,4,4,3,58,1405,5,5,19,Male,White
4,4,3,4,117,734,3,1,25,Male,White
4,5,4,4,29,600,2,2,18,Male,White
2,3,2,2,30,600,1,2,19,Male,White
2,4,3,2,120,285,3,1,19,Male,White
3,3,4,2,5,801,4,2,21,Male,White
3,2,1,2,120,971,3,2,21,Male,White
1,1,1,1,13,295,1,2,18,Male,White
4,5,2,2,58,512,1,1,20,Male,White
3,4,2,3,,,4,1,19,Male,Other
2,3,2,4,8,801,1,1,18,Male,White
4,4,2,3,25,151,2,4,20,Male,White
3,4,3,3,43,275,1,3,19,Male,Black
3,4,2,2,29,2000,1,1,20,Male,White
3,2,2,2,26,454,3,2,18,Male,White
3,3,2,1,34,789,2,3,21,Male,White
5,5,5,4,102,1319,2,4,18,Male,White
3,4,3,4,15,1177,3,2,20,Male,White
2,5,4,3,15,501,1,1,18,Male,White
3,3,3,2,60,102,1,1,18,Male,Hispanic/Latino
2,4,1,2,61,436,2,1,21,Male,White
4,4,2,3,25,1034,5,5,21,Male,White
4,2,3,2,24,1884,2,2,19,Male,Hispanic/Latino
3,4,2,2,30,258,3,6,20,Male,White
3,3,2,2,27,510,5,6,21,Male,White
4,4,4,4,45,917,2,3,22,Male,White
1,4,1,1,12,1841,2,1,19,Male,Multiracial
3,3,3,3,27,801,3,3,20,Male,White
3,3,2,2,45,900,1,2,19,Male,White
3,3,3,3,151,1858,1,4,20,Male,White
3,3,2,3,14,338,2,1,18,Male,White
3,3,3,3,,,3,3,18,Male,White
4,4,2,1,15,980,1,1,18,Male,White
2,2,2,2,58,447,3,3,26,Male,Multiracial
4,4,4,2,28,179,2,7,21,Male,White
